TABLE:  Element Forces - Frames,,,,,,,,,,,
Frame,Station,OutputCase,CaseType,P,V2,V3,T,M2,M3,FrameElem,ElemStation
Text,m,Text,Text,KN,KN,KN,KN-m,KN-m,KN-m,Text,m
9,0,COMB1_ULS,Combination,-1772.556,1.186,29.436,6.648E-14,332.7535,11.4585,9-1,0
9,8.575,COMB1_ULS,Combination,-1863.54,1.186,29.436,6.648E-14,80.3408,1.2855,9-1,8.575
9,9.81,COMB1_ULS,Combination,-1876.644,1.186,29.436,6.648E-14,43.9874,-0.1797,9-1,9.81
9,9.81,COMB1_ULS,Combination,-1876.644,1.186,29.436,6.648E-14,43.9874,-0.1797,9-1,9.81
9,17.15,COMB1_ULS,Combination,-1954.524,1.186,29.436,6.648E-14,-172.0719,-8.8876,9-1,17.15
9,0,COMB2_ULS,Combination,-1809.47,1.183,31.618,6.648E-14,363.9346,11.4086,9-1,0
9,8.575,COMB2_ULS,Combination,-1900.454,1.183,31.618,6.648E-14,92.8062,1.2632,9-1,8.575
9,9.81,COMB2_ULS,Combination,-1913.557,1.183,31.618,6.648E-14,53.7573,-0.198,9-1,9.81
9,9.81,COMB2_ULS,Combination,-1913.557,1.183,31.618,6.648E-14,53.7573,-0.198,9-1,9.81
9,17.15,COMB2_ULS,Combination,-1991.437,1.183,31.618,6.648E-14,-178.3223,-8.8822,9-1,17.15
9,0,COMB3_ULS,Combination,-1828.463,1.182,25.073,6.645E-14,290.7908,11.3902,9-1,0
9,8.575,COMB3_ULS,Combination,-1919.446,1.182,25.073,6.645E-14,75.7857,1.2575,9-1,8.575
9,9.81,COMB3_ULS,Combination,-1932.55,1.182,25.073,6.645E-14,44.82,-0.2019,9-1,9.81
9,9.81,COMB3_ULS,Combination,-1932.55,1.182,25.073,6.645E-14,44.82,-0.2019,9-1,9.81
9,17.15,COMB3_ULS,Combination,-2010.43,1.182,25.073,6.645E-14,-139.2194,-8.8752,9-1,17.15
9,0,COMB8_ULS,Combination,-1811.065,1.183,31.069,6.648E-14,357.7904,11.408,9-1,0
9,8.575,COMB8_ULS,Combination,-1902.049,1.183,31.069,6.648E-14,91.3764,1.263,9-1,8.575
9,9.81,COMB8_ULS,Combination,-1915.152,1.183,31.069,6.648E-14,53.0066,-0.1982,9-1,9.81
9,9.81,COMB8_ULS,Combination,-1915.152,1.183,31.069,6.648E-14,53.0066,-0.1982,9-1,9.81
9,17.15,COMB8_ULS,Combination,-1993.032,1.183,31.069,6.648E-14,-175.0376,-8.882,9-1,17.15
9,0,COMB9_ULS,Combination,-1948.212,1.187,30.51,6.648E-14,348.7249,11.4695,9-1,0
9,8.575,COMB9_ULS,Combination,-2039.195,1.187,30.51,6.648E-14,87.1024,1.2904,9-1,8.575
9,9.81,COMB9_ULS,Combination,-2052.299,1.187,30.51,6.648E-14,49.4226,-0.1757,9-1,9.81
9,9.81,COMB9_ULS,Combination,-2052.299,1.187,30.51,6.648E-14,49.4226,-0.1757,9-1,9.81
9,17.15,COMB9_ULS,Combination,-2130.179,1.187,30.51,6.648E-14,-174.5201,-8.8888,9-1,17.15
9,0,COMB14_ULS,Combination,-1306.895,8.892,77.562,3.447E-13,873.6526,101.0925,9-1,0
9,8.575,COMB14_ULS,Combination,-1397.878,8.892,77.562,3.447E-13,208.556,24.8397,9-1,8.575
9,9.81,COMB14_ULS,Combination,-1410.982,8.892,77.562,3.447E-13,112.7665,13.8575,9-1,9.81
9,9.81,COMB14_ULS,Combination,-1410.982,8.892,77.562,3.447E-13,112.7665,13.8575,9-1,9.81
